ID, Department, Position,
1, Sales department, Sales Manager,
2, Sales department, Sales Manager, 
3, Sales department, Sales Manager, 
4, Marketing department, Product manager, 
5, Marketing department, Market Research manager, 
6, Marketing department , Project manager,
7, IT department, FrontEnd Developer, 
8, IT department, BackEnd Developer,
9, IT department, Qality Engineer,
10, IT depaetment, SEO Specialist,
11, Financial department, Accountant, 
11, Financial department, Senior Accountant, 
12, Financial department, Chief Financial Manager,
13, IT department, TeamLeader, 
14, Marketing department, Chief Marketing Manager, 
15, IT department, Full Stack Developer, 
16, IT department, Game Designer, 
17, IT department, Graphic Designer, 
18, IT department, Data Scientist,
19, Operational department, Assistant to General Manager,
20, Operational department, General Manager,
